Data written by mGstat 14-Apr-2021
4
col1, unknown
col2, unknown
col3, unknown
col4, unknown
            563564              6233181                    0                    0
            563088              6232645                    0                    0
            566049              6234404                    0                    0
            572538              6232652                    0                    1
            562378              6234411                    0                    0
            564523              6231370                    0                    1
            564367              6231629                    0                    1
            571486              6232321                    0                    0
            571580              6232352                    0                    0
            574839              6234386                    0                    1
            567134              6232572                    0                    0
            568061              6232476                    0                    0
            569890              6233123                    0                    1
            576249              6231930                    0                    0
            576124              6231991                    0                    0
            573155              6231547                    0                    0
            574942              6231765                    0                    0
            567297              6233210                    0                    0
            568526              6225840                    0                    0
            569200              6229925                    0                    1
            562326              6226908                    0                    1
            565981              6228642                    0                    1
            567270              6226871                    0                    0
            570222              6229324                    0                    1
            575453              6230149                    0                    0
            564169              6226554                    0                    0
            570499              6229993                    0                    1
            570899              6229807                    0                    1
            566660              6230653                    0                    0
            564599              6229123                    0                    0
            564579              6228943                    0                    0
            564859              6228563                    0                    0
            569872              6229856                    0                    1
            569967              6229877                    0                    1
            569244              6229156                    0                    0
            566921              6230159                    0                    0
            569379              6229913                    0                    1
            567199              6226773                    0                    0
            566959              6230493                    0                    0
         570520.71           6229578.07                    0                    1
            565936              6231924                    0                    0
            566105              6231717                    0                    0
            572757              6234496                    0                    1
            568071              6232082                    0                    0
            569917              6233398                    0                    1
            575279              6232972                    0                    1
            573081              6231660                    0                    0
            568995              6230863                    0                    0
            568960              6231637                    0                    0
            573183              6231996                    0                    0
            576289              6227251                    0                    0
            573517              6226411                    0                    0
            567124              6227133                    0                    0
            563349              6230057                    0                    0
         573808.68            6230864.1                    0                    0
            570344              6233763                    0                    0
            570397              6229896                    0                    1
            569951              6229939                    0                    1
            574960              6225497                    0                    0
            564499              6228958                    0                    0
            563720              6227365                    0                    1
            569008              6225702                    0                    0
            569252              6230012                    0                    1
            563917              6225564                    0                    0
            573809              6230864                    0                    0
            569267              6230015                    0                    1
            571699              6230043                    0                    1
            570255              6229435                    0                    1
            564691              6231716                    0                    1
            568569              6230460                    0                    0
            571749              6230090                    0                    1
            572559              6232657                    0                    1
            567646              6234016                    0                    1
            571631              6231367                    0                    1
            570757              6234155                    0                    0
            564982              6230017                    0                    0
            575410              6232688                    0                    0
            572541              6233245                    0                    1
            572942              6233369                    0                    1
            569484              6229865                    0                    1
            575625              6232430                    0                    0
            575494              6232586                    0                    0
            572911              6231667                    0                    0
            575101              6233606                    0                    1
            572531              6232986                    0                    1
            565767              6232243                    0                    1
            567139              6233867                    0                    1
            567007              6234222                    0                    0
            566120              6231920                    0                    0
            567823           6235320.99                    0                    1
            569359              6229915                    0                    1
            567478              6226295                    0                    0
            566423              6226335                    0                    0
            562461              6226991                    0                    1
            563693              6233071                    0                    0
            562100            6229577.2                    0                    1
            562177              6226614                    0                    1
            575586              6225677                    0                    0
            573792              6227110                    0                    0
            571527              6231739                    0                    1
            564944              6231727                    0                    1
            563159              6234023                    0                    0
            571879              6231967                    0                    1
            571193              6231517                    0                    1
            570996              6234398                    0                    0
            568152              6230184                    0                    0
